fid,OBJECTID,ADDRTYPE,ADDRNUM,UNIT,QUALIFIER,SUFFIX_FR,ARTICLE_FR,ROAD_NAME,SUFFIX_EN,DIRECTION,FULL_ADDRE,FULL_ADD_1,FULL_ROADN,FULL_ROA_1,ROAD_SIGN_,LANGUAGE_O,POSTAL_COD,CP_MUNICIP,MUNICIPALI,WARD,MUNICIPAL_,ROAD_NAME_,OT_ROAD_NA,POINT_X,POINT_Y,CREATED_DA,MODIFIED_D,GLOBALID,RELATED_AD,old_PARCEL_ASSESSMENT_ROLL_NUMBER,ZONE_CODE,ZONE_MAIN,PARCEL_ASSESSMENT_ROLL_NUMBER,match
184678,276706,Main,5824,,,place,,Gladewoods,Pl,,5824 Gladewoods Pl,5824 place Gladewoods,Gladewoods Pl,place Gladewoods,place Gladewoods Pl.,English,K1W1G5,ORLÉANS,Gloucester,19.0,__3W1GT3,___2SVIV,RN002786,380499.353,5033976.058,2012/11/14,,{52F5F1F5-FB68-42F1-82DF-DC4D8C513614},,6.14600216321e+18,R1W,R1,06146002163210000000,True
184679,190619,Main,212,,,crois,,Lucinda,Cres,,212 Lucinda Cres,212 crois Lucinda,Lucinda Cres,crois Lucinda,crois. Lucinda Cres.,English,K1W0A1,ORLÉANS,Gloucester,19.0,__54KEL9,__5V5FXQ,RN011136,381286.245,5032324.41,2012/11/14,,{D5C41AB8-8326-4EE5-BE5E-37F37AE21420},,6.146002151617e+18,R3VV[1048],R3,06146002151617000000,True
184704,277468,Main,513,,,rue,,Beaufield,St,,513 Beaufield St,513 rue Beaufield,Beaufield St,rue Beaufield,rue Beaufield St.,English,K1W0N9,ORLÉANS,Gloucester,19.0,__A5XDXE,__5GGWGX,RN011195,382228.7632,5032084.7481,,2020/07/27,{BDE54E46-5454-4C4A-B541-9D65A5BDD021},,6.1460021514741e+18,R3VV[1286],R3,06146002151474100000,True
184717,352134,Main,151,,,prom,,Esterbrook,Dr,,151 Esterbrook Dr,151 prom Esterbrook,Esterbrook Dr,prom Esterbrook,prom. Esterbrook Dr.,English,K1W0H2,ORLÉANS,Gloucester,19.0,__8O8QEK,__5GGW4E,RN011049,381815.307,5032305.703,2012/11/14,,{FF11A1E6-E628-40A4-A806-AB94BD547618},,6.1460021514973e+18,R3VV[1286],R3,06146002151497300000,True
184718,385609,Main,2367,,,prom,,Raintree,Dr,,2367 Raintree Dr,2367 prom Raintree,Raintree Dr,prom Raintree,prom. Raintree Dr.,English,K1W1J4,ORLÉANS,Gloucester,19.0,__3W1G0V,___2SRQQ,RN007265,380768.455,5033657.38,2012/11/14,,{FCBB221E-D10A-40B0-924D-CAB8539CD2BD},,6.1460021661e+18,R1VV,R1,06146002166100000000,True
184723,204752,Main,569,,,voie,du,Pin Rouge,Way,,569 Pin Rouge Way,569 voie du Pin Rouge,Pin Rouge Way,voie du Pin Rouge,voie du Pin Rouge Way,French,K1W0C4,ORLÉANS,Gloucester,19.0,__8EOLVT,__80A6QL,RN006343,381508.5816,5032315.401,2012/11/16,2015/06/19,{A232823E-16F2-43F6-A147-368756AA70F3},,6.1460021515654e+18,R3VV[1860],R3,06146002151565400000,True
184726,213323,Subordinate,317,,,privé,,Galston,Priv,,317 Galston Priv,317 privé Galston,Galston Priv,privé Galston,privé Galston Priv.,English,K1W0G3,ORLÉANS,Gloucester,19.0,__7S9C2H,__7NARVJ,RN005243,382253.1858,5032847.2219,2020/08/06,2020/08/06,{1FE78284-E68E-4B43-A5FC-490956DFA76C},__7S9CWO,6.146002151235112e+18,R4Z[1724],R4,06146002151235112384,True
184727,212353,Subordinate,318,,,privé,,Galston,Priv,,318 Galston Priv,318 privé Galston,Galston Priv,privé Galston,privé Galston Priv.,English,K1W0G3,ORLÉANS,Gloucester,19.0,__7S9CW7,__7NARVJ,RN005243,382270.9919,5032851.5739,2015/06/08,2015/06/08,{AC55A6D4-8B08-4373-A7FB-034E177A8A4E},__7S9CWO,6.146002151235112e+18,R4Z[1724],R4,06146002151235112384,True
184728,241389,Subordinate,319,,,privé,,Galston,Priv,,319 Galston Priv,319 privé Galston,Galston Priv,privé Galston,privé Galston Priv.,English,K1W0G3,ORLÉANS,Gloucester,19.0,__7S9C2J,__7NARVJ,RN005243,382251.0691,5032851.7199,2020/08/06,2020/08/06,{0D4EF463-EB7B-4144-8610-849A2E02838B},__7S9CWO,6.146002151235112e+18,R4Z[1724],R4,06146002151235112384,True
184729,87924,Subordinate,320,,,privé,,Galston,Priv,,320 Galston Priv,320 privé Galston,Galston Priv,privé Galston,privé Galston Priv.,English,K1W0G3,ORLÉANS,Gloucester,19.0,__7S9CW9,__7NARVJ,RN005243,382269.5367,5032854.8812,2015/06/08,2015/06/08,{2EBE55CD-2815-4D0D-96A1-1A14F9862EF4},__7S9CWO,6.146002151235112e+18,R4Z[1724],R4,06146002151235112384,True
184730,199660,Subordinate,321,,,privé,,Galston,Priv,,321 Galston Priv,321 privé Galston,Galston Priv,privé Galston,privé Galston Priv.,English,K1W0G3,ORLÉANS,Gloucester,19.0,__7S9C2L,__7NARVJ,RN005243,382249.2171,5032854.8949,2020/08/06,2020/08/06,{6F1172E7-6077-4B87-83DC-0F861C915A39},__7S9CWO,6.146002151235112e+18,R4Z[1724],R4,06146002151235112384,True
184731,233107,Subordinate,322,,,privé,,Galston,Priv,,322 Galston Priv,322 privé Galston,Galston Priv,privé Galston,privé Galston Priv.,English,K1W0G3,ORLÉANS,Gloucester,19.0,__7S9CWA,__7NARVJ,RN005243,382267.5523,5032857.6594,2015/06/08,2015/06/08,{86A8C896-0C57-4528-8499-0D7ED55E5865},__7S9CWO,6.146002151235112e+18,R4Z[1724],R4,06146002151235112384,True
184732,211202,Subordinate,323,,,privé,,Galston,Priv,,323 Galston Priv,323 privé Galston,Galston Priv,privé Galston,privé Galston Priv.,English,K1W0G3,ORLÉANS,Gloucester,19.0,__7S9C2N,__7NARVJ,RN005243,382247.365,5032858.3345,2020/08/06,2020/08/06,{22705B84-3AAF-4AC0-B55D-2663D2F69125},__7S9CWO,6.146002151235112e+18,R4Z[1724],R4,06146002151235112384,True
184733,217733,Subordinate,324,,,privé,,Galston,Priv,,324 Galston Priv,324 privé Galston,Galston Priv,privé Galston,privé Galston Priv.,English,K1W0G3,ORLÉANS,Gloucester,19.0,__7S9CWC,__7NARVJ,RN005243,382265.8325,5032860.5698,2015/06/08,2015/06/08,{57073284-70CF-4596-9B7D-1C39A85BB115},__7S9CWO,6.146002151235112e+18,R4Z[1724],R4,06146002151235112384,True
