fid,OBJECTID,ADDRTYPE,ADDRNUM,UNIT,QUALIFIER,SUFFIX_FR,ARTICLE_FR,ROAD_NAME,SUFFIX_EN,DIRECTION,FULL_ADDRE,FULL_ADD_1,FULL_ROADN,FULL_ROA_1,ROAD_SIGN_,LANGUAGE_O,POSTAL_COD,CP_MUNICIP,MUNICIPALI,WARD,MUNICIPAL_,ROAD_NAME_,OT_ROAD_NA,POINT_X,POINT_Y,CREATED_DA,MODIFIED_D,GLOBALID,RELATED_AD,old_PARCEL_ASSESSMENT_ROLL_NUMBER,ZONE_CODE,ZONE_MAIN,PARCEL_ASSESSMENT_ROLL_NUMBER,match
207285,465115,Main,8665,,,ch,,Marvelville,Rd,,8665 Marvelville Rd,8665 ch Marvelville,Marvelville Rd,ch Marvelville,ch. Marvelville Rd.,English,K0A2P0,METCALFE,Osgoode,20,__3W5071,___2SQ0T,RN006120,389475.056,5006586.223,2012/11/14,,{E8126A5D-C962-4DCD-ACFD-F2075BD17641},,6.1470007019001e+18,AG,AG,06147000701900100000,True
207290,475912,Main,8999,,,prom,,Jason,Dr,,8999 Jason Dr,8999 prom Jason,Jason Dr,prom Jason,prom. Jason Dr.,English,K0A2G0,KENMORE,Osgoode,20,__31FCJA,___2SQAV,RN005968,389765.496,5010718.611,2012/11/14,2024/11/10,{F865CCCA-5EC0-4EF4-BFC2-3582FF44CFCA},,6.147000651721e+18,V1I,V1,06147000651721000000,True
207315,463539,Main,2920,,,ch,,9th Line,Rd,,2920 9th Line Rd,2920 ch 9th Line,9th Line Rd,ch 9th Line,ch. 9th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__3W6BZY,___2SQ90,RN006696,387429.973,5010771.152,2012/11/14,,{5B3CC105-C3AB-4FAF-AEE7-8458E7333B7D},,6.1470006512901e+18,AG3,AG,06147000651290100000,True
207324,464964,Main,8409,,,voie,,Nova Lux,Way,,8409 Nova Lux Way,8409 voie Nova Lux,Nova Lux Way,voie Nova Lux,voie Nova Lux Way,English,K0A2P0,METCALFE,Osgoode,20,__4O3ILJ,___2SVNJ,RN012552,386469.539,5011143.242,2012/11/14,,{C5480CC3-541A-4E25-9CDD-C19ACD259082},,6.1470006512376e+18,V1I,V1,06147000651237600000,True
207338,465193,Main,8299,,,voie,,Nova Lux,Way,,8299 Nova Lux Way,8299 voie Nova Lux,Nova Lux Way,voie Nova Lux,voie Nova Lux Way,English,K0A2P0,METCALFE,Osgoode,20,__4O3IJ1,___2SVNJ,RN012552,385990.671,5010988.948,2012/11/14,,{FE50400F-3C7B-4295-B6C4-ABB5B0B6512D},,6.1470006512366e+18,V1I,V1,06147000651236600000,True
207350,263697,Main,7719,,,rue,,Lawrence,St,,7719 Lawrence St,7719 rue Lawrence,Lawrence St,rue Lawrence,rue Lawrence St.,English,K0A3J0,VERNON,Osgoode,20,__4QA12L,___2SQ0G,RN012457,385935.902,5002590.082,2012/11/14,,{DB51EF9B-DEC6-41A9-922E-55DEF44CE969},,6.1470007003115e+18,V1I,V1,06147000700311500000,True
207367,463252,Main,2772,,,ch,,9th Line,Rd,,2772 9th Line Rd,2772 ch 9th Line,9th Line Rd,ch 9th Line,ch. 9th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__3W6BUU,___2SQ90,RN006696,387153.941,5011398.675,2012/11/14,,{0F6CF2BC-7EE7-4816-9DB6-4BB7B9F6C7E5},,6.1470006512301e+18,AG3[5r],AG,06147000651230100000,True
207379,475888,Main,8981,,,prom,,Jason,Dr,,8981 Jason Dr,8981 prom Jason,Jason Dr,prom Jason,prom. Jason Dr.,English,K0A2G0,KENMORE,Osgoode,20,__31FCKH,___2SQAV,RN005968,389643.962,5010678.128,2012/11/14,2024/11/10,{E6A59482-A7AC-4402-B028-64A25930D5FF},,6.1470006517216e+18,V1I,V1,06147000651721600000,True
207396,463532,Main,8072,,,rle,,Black Willow,Lane,,8072 Black Willow Lane,8072 rle Black Willow,Black Willow Lane,rle Black Willow,rle. Black Willow Lane,English,K0A2P0,METCALFE,Osgoode,20,__32HNJR,___2SVC9,RN002540,385196.959,5010258.851,2012/11/14,,{5A2116C1-6F41-41C8-9881-EA4A65E9E35E},,6.1470006506954e+18,V1I,V1,06147000650695400000,True
207412,463998,Main,3655,,,ch,,9th Line,Rd,,3655 9th Line Rd,3655 ch 9th Line,9th Line Rd,ch 9th Line,ch. 9th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__AC24I8,___2SQ90,RN006696,389371.8419,5007664.0118,2019/02/05,2020/07/27,{D20F7F2E-2710-45E6-995E-44A132C43A52},,6.1470007018701e+18,AG,AG,06147000701870100000,True
207435,463418,Main,8401,,,voie,,Lourdes,Way,,8401 Lourdes Way,8401 voie Lourdes,Lourdes Way,voie Lourdes,voie Lourdes Way,English,K0A2P0,METCALFE,Osgoode,20,__4O3KNG,___2SUHA,RN000120,386350.743,5011062.918,2012/11/14,,{3C93C3D1-FA37-46FC-9839-CF30FEF4C05F},,6.1470006512378e+18,V1I,V1,06147000651237800000,True
207438,475819,Main,8999,,,voie,,Clelland,Way,,8999 Clelland Way,8999 voie Clelland,Clelland Way,voie Clelland,voie Clelland Way,English,K0A2G0,METCALFE,Osgoode,20,__3W6DUX,___2SUZ0,RN001208,389815.771,5010552.273,2012/11/14,2024/11/10,{8ED3C5C0-B5DD-4FD9-84B7-AB23C7267450},,6.1470006519851e+18,V1I,V1,06147000651985100000,True
207449,465097,Main,2862,,,prom,,Glenwood,Dr,,2862 Glenwood Dr,2862 prom Glenwood,Glenwood Dr,prom Glenwood,prom. Glenwood Dr.,English,K0A2P0,METCALFE,Osgoode,20,__3W60DY,___2SU05,RN013010,385961.264,5010204.543,2012/11/14,,{E1FA2F68-BC56-4887-A5AE-E4F01E137D86},,6.1470006512603e+18,V1I[562r],V1,06147000651260300000,True
207461,316614,Main,4131,,,prom,,Lafortune,Dr,,4131 Lafortune Dr,4131 prom Lafortune,Lafortune Dr,prom Lafortune,prom. Lafortune Dr.,English,K0A3J0,VERNON,Osgoode,20,__3W59C7,___2SQ0C,RN006322,386843.203,5003113.186,2012/11/14,,{A8858630-6322-4559-9208-8FEB9765D2F2},,6.1470007010301e+18,V1I,V1,06147000701030100000,True
207473,465116,Main,9298,,,ch,,Springhill,Rd,,9298 Springhill Rd,9298 ch Springhill,Springhill Rd,ch Springhill,ch. Springhill Rd.,English,K0A2P0,METCALFE,Osgoode,20,__3W50DI,___2SQ9O,RN000373,391599.388,5010198.956,2012/11/14,,{E840DE46-5284-40F3-9BE1-2188EF53B3C0},,6.14700070216e+18,AG,AG,06147000702160000000,True
207482,306972,Main,7770,,,rue,,Lawrence,St,,7770 Lawrence St,7770 rue Lawrence,Lawrence St,rue Lawrence,rue Lawrence St.,English,K0A3J0,VERNON,Osgoode,20,__4QA13V,___2SQ0G,RN012457,386183.147,5002662.761,2012/11/14,,{76D8FDBE-F7D3-47F6-8614-FB316EBDED92},,6.1470007006201e+18,V1I,V1,06147000700620100000,True
207485,464098,Main,8062,,,prom,,Craig Farm,Dr,,8062 Craig Farm Dr,8062 prom Craig Farm,Craig Farm Dr,prom Craig Farm,prom. Craig Farm Dr.,English,K0A2P0,METCALFE,Osgoode,20,__32HM73,___2SUSA,RN007409,385204.106,5010113.223,2012/11/14,,{E9A1B9EA-F4D8-40DD-8D3F-1E58CA45C1B5},,6.147000650695e+18,V1I,V1,06147000650695000000,True
207490,464925,Main,7385,,,rue,,Bank,St,,7385 Bank St,7385 rue Bank,Bank St,rue Bank,rue Bank St.,English,K0A2P0,METCALFE,Osgoode,20,__31GJZC,___2SVBG,RN005653,384018.4295,5009403.634,2012/11/14,2022/09/01,{BE29BEE2-2DB8-41D3-A9C5-904B997C6FD8},,6.14700065078e+18,RU,RU,06147000650780000000,True
207491,464467,Subordinate,7385,,B,rue,,Bank,St,,7385 B Bank St,7385 B rue Bank,Bank St,rue Bank,rue Bank St.,English,K0A2P0,METCALFE,Osgoode,20,e_2KGCXS,___2SVBG,RN005653,384201.9215,5009587.9611,2022/09/01,2024/03/24,{4B797116-066C-43C4-85B9-C2EA744CEB00},__31GJZC,6.14700065078e+18,RU,RU,06147000650780000000,True
207505,464665,Main,7970,,,ch,,Springhill,Rd,,7970 Springhill Rd,7970 ch Springhill,Springhill Rd,ch Springhill,ch. Springhill Rd.,English,K0A2P0,METCALFE,Osgoode,20,__9A5VF2,___2SQ9O,RN000373,385800.1459,5006577.0538,2014/08/08,2015/10/01,{7E1E3182-23F5-4490-9A6B-3EBDB4A18C3F},,6.1470006510605e+18,RU,RU,06147000651060500000,True
207514,464955,Main,8930,,,rue,,Victoria,St,,8930 Victoria St,8930 rue Victoria,Victoria St,rue Victoria,rue Victoria St.,English,K0A2P0,METCALFE,Osgoode,20,__0VG3UB,___2STTT,RN002610,388504.523,5013026.8269,2015/10/08,2020/07/27,{C36DE01B-586A-468F-A726-A09B9A0F6887},,6.1470006515301e+18,RU,RU,06147000651530100000,True
207524,464327,Main,8351,,,voie,,Lourdes,Way,,8351 Lourdes Way,8351 voie Lourdes,Lourdes Way,voie Lourdes,voie Lourdes Way,English,K0A2P0,METCALFE,Osgoode,20,__4O3KRE,___2SUHA,RN000120,386118.451,5010918.375,2012/11/14,,{20728F0D-BA2A-406B-8D90-8383319B6E0E},,6.1470006512382e+18,V1I,V1,06147000651238200000,True
207530,426105,Main,4003,,,ch,,8th Line,Rd,,4003 8th Line Rd,4003 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0C2K0,VERNON,Osgoode,20,__3W59GA,___2SVDB,RN012551,388004.53,5004694.487,2012/11/14,2024/03/24,{2E6450BB-A1CA-47E4-9289-54808446FC2D},,6.1470007016301e+18,AG,AG,06147000701630100000,True
