fid,OBJECTID,ADDRTYPE,ADDRNUM,UNIT,QUALIFIER,SUFFIX_FR,ARTICLE_FR,ROAD_NAME,SUFFIX_EN,DIRECTION,FULL_ADDRE,FULL_ADD_1,FULL_ROADN,FULL_ROA_1,ROAD_SIGN_,LANGUAGE_O,POSTAL_COD,CP_MUNICIP,MUNICIPALI,WARD,MUNICIPAL_,ROAD_NAME_,OT_ROAD_NA,POINT_X,POINT_Y,CREATED_DA,MODIFIED_D,GLOBALID,RELATED_AD,old_PARCEL_ASSESSMENT_ROLL_NUMBER,ZONE_CODE,ZONE_MAIN,PARCEL_ASSESSMENT_ROLL_NUMBER,match
318976,325548,Main,53,,,crois,,Pelham,Cres,,53 Pelham Cres,53 crois Pelham,Pelham Cres,crois Pelham,crois. Pelham Cres.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__AUK5DD,__0GPLNF,RN007849,356253.6954,5005321.9284,,2020/07/27,{C8897D24-3B34-499C-BEBB-22EE087D48D0},,6.1427381536324e+18,V2E[779r],V2,06142738153632400000,True
318987,434789,Main,392,,,ch,,Meynell,Rd,,392 Meynell Rd,392 ch Meynell,Meynell Rd,ch Meynell,ch. Meynell Rd.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__CI7A6C,__0GPLQ9,RN005637,356654.8479,5004746.1675,2021/12/13,2024/03/24,{D54E0068-52DA-4752-9EB5-F5E2BEF77A5D},,6.1427381536822e+18,V2E[902r],V2,06142738153682200000,True
319042,256446,Main,102,,,crois,,Bald Eagle,Cres,,102 Bald Eagle Cres,102 crois Bald Eagle,Bald Eagle Cres,crois Bald Eagle,crois. Bald Eagle Cres.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__0JI8WE,__7TE982,RN004756,355884.9097,5006092.9689,2015/02/02,2015/04/28,{12F59AB1-3C9F-4346-88F6-6CFDF2225CD2},,6.1427381511566e+18,V1C,V1,06142738151156600000,True
319052,452669,Main,50,,,rue,,Maitland,St,,50 Maitland St,50 rue Maitland,Maitland St,rue Maitland,rue Maitland St.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__3W3XK7,___2SUD4,RN009739,356817.698,5005542.996,2012/11/14,2024/03/24,{B8C1A042-053A-4EC5-9316-466CC80E71D5},,6.1427381523205e+18,V1C,V1,06142738152320500000,True
319064,435256,Main,540,,,tsse,,Filly,Terr,,540 Filly Terr,540 tsse Filly,Filly Terr,tsse Filly,tsse. Filly Terr.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__CI708C,__BF6FXR,RN012323,356475.4712,5005115.2546,2022/06/29,2024/03/24,{55107CB9-0B5E-4A9A-874F-7B0A35183638},,6.1427381537161e+18,V3B[903r],V3,06142738153716100000,True
319066,435569,Main,161,,,cer,,Yearling,Cir,,161 Yearling Cir,161 cer Yearling,Yearling Cir,cer Yearling,cer. Yearling Cir.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__CI7AIZ,__BF7HHK,RN000959,356210.0828,5004844.8472,2022/06/29,2024/03/24,{A2A819BB-858D-4DDC-A4F7-546E654A426B},,6.1427381537115e+18,V3B[903r],V3,06142738153711500000,True
319069,428600,Main,92,,,rue,,Martin,St,,92 Martin St,92 rue Martin,Martin St,rue Martin,rue Martin St.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__31B132,___2SRF1,RN010289,356973.609,5005863.124,2012/11/14,2024/03/24,{A3F93A83-BD9F-4A7A-8186-89CFAEE0F3E0},,6.14273815098e+18,V1C,V1,06142738150980000000,True
319081,454174,Main,36,,,prom,,Richland,Dr,,36 Richland Dr,36 prom Richland,Richland Dr,prom Richland,prom. Richland Dr.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__3W3WSI,___2SREM,RN010404,357717.717,5004621.196,2012/11/14,2024/03/24,{3BBC8F97-BBCB-425D-BC8E-B51B285709E1},,6.1427381535506e+18,V1B,V1,06142738153550600000,True
319084,95024,Main,80,,,prom,,Nixon Farm,Dr,,80 Nixon Farm Dr,80 prom Nixon Farm,Nixon Farm Dr,prom Nixon Farm,prom. Nixon Farm Dr.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__9UNPHH,___2SRFK,RN011751,356247.9164,5006424.9979,2013/10/04,2013/10/04,{EDB36CC3-DAEC-4275-AF10-CC234F9BE0C8},,6.1427381513608e+18,V1C,V1,06142738151360800000,True
319097,435178,Main,1010,,,rue,,Showman,St,,1010 Showman St,1010 rue Showman,Showman St,rue Showman,rue Showman St.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__CJLWDT,__BF7PLD,RN010887,356472.2183,5005017.2689,2022/06/29,2024/03/24,{3D0C84FE-DCB3-4CE4-A448-4A6D09B28E99},,6.1427381536974e+18,V2E[902r],V2,06142738153697400000,True
