fid,OBJECTID,ADDRTYPE,ADDRNUM,UNIT,QUALIFIER,SUFFIX_FR,ARTICLE_FR,ROAD_NAME,SUFFIX_EN,DIRECTION,FULL_ADDRE,FULL_ADD_1,FULL_ROADN,FULL_ROA_1,ROAD_SIGN_,LANGUAGE_O,POSTAL_COD,CP_MUNICIP,MUNICIPALI,WARD,MUNICIPAL_,ROAD_NAME_,OT_ROAD_NA,POINT_X,POINT_Y,CREATED_DA,MODIFIED_D,GLOBALID,RELATED_AD,old_PARCEL_ASSESSMENT_ROLL_NUMBER,ZONE_CODE,ZONE_MAIN,PARCEL_ASSESSMENT_ROLL_NUMBER,match
173809,454788,Main,4450,,,ch,,Hawthorne,Rd,,4450 Hawthorne Rd,4450 ch Hawthorne,Hawthorne Rd,ch Hawthorne,ch. Hawthorne Rd.,English,K1T0L2,GLOUCESTER,Gloucester,22.0,__3Z0431,___2SSQZ,RN010977,376680.0411,5021835.5995,2012/11/14,2024/03/24,{E015DF85-C123-428B-902D-FDF67E39C6BF},,6.14600075179e+18,RU,RU,06146000751790000000,True
274379,353493,Main,399,,,prom,,Shuttleworth,Dr,,399 Shuttleworth Dr,399 prom Shuttleworth,Shuttleworth Dr,prom Shuttleworth,prom. Shuttleworth Dr.,English,K1T0T5,GLOUCESTER,Gloucester,22.0,__A7BC3I,__9I2XTV,RN010427,376452.285,5020699.9233,,2020/07/27,{EC31E6AB-1FCC-42DB-84A2-EDEA8A423EE1},,6.1460007525145e+18,R4Z,R4,06146000752514500000,True
274382,332825,Main,401,,,rue,,Fernside,St,,401 Fernside St,401 rue Fernside,Fernside St,rue Fernside,rue Fernside St.,English,K1T0L2,GLOUCESTER,Gloucester,22.0,__81JF1G,__7TCCO4,RN001842,375926.594,5021435.273,2012/11/14,2014/08/22,{8658A842-5671-4A96-8CCF-C7F21E8087C3},,6.1460007518802e+18,R3Z,R3,06146000751880200000,True
274392,13807,Main,124,,,rue,,Spartina,St,,124 Spartina St,124 rue Spartina,Spartina St,rue Spartina,rue Spartina St.,English,K1T0G6,GLOUCESTER,Gloucester,22.0,__61MCKW,__61MCH3,RN001488,374857.468,5019913.648,2012/11/14,,{52567974-247A-4B89-85E2-37C6EEAB95EA},,6.1460007008615e+18,R3VV[1318],R3,06146000700861500000,True
274394,33308,Main,218,,,voie,,Ginebik,Way,,218 Ginebik Way,218 voie Ginebik,Ginebik Way,voie Ginebik,voie Ginebik Way,English,K1X0H4,GLOUCESTER,Gloucester,22.0,__BNWEWC,__AOAIFP,RN006359,375573.9895,5018787.2867,2019/08/12,2020/07/27,{801E1014-AD0E-42DC-A499-785357321AEA},,6.1460007017275e+18,R3Z,R3,06146000701727500000,True
274396,255117,Main,62,,,voie,,Aconitum,Way,,62 Aconitum Way,62 voie Aconitum,Aconitum Way,voie Aconitum,voie Aconitum Way,English,K1T0R8,GLOUCESTER,Gloucester,22.0,__APG6VL,__0FE8HB,RN012565,374732.1895,5020592.1411,,2020/10/26,{C85A86EC-9354-428E-89C7-12C5F3A9C16A},,6.1460007016331e+18,R3Z[2402],R3,06146000701633100000,True
274398,361808,Main,536,,,rle,,Rathburn,Lane,,536 Rathburn Lane,536 rle Rathburn,Rathburn Lane,rle Rathburn,rle. Rathburn Lane,English,K1T0T4,GLOUCESTER,Gloucester,22.0,__A7BYF1,__8D4JI5,RN007118,376327.1478,5020505.2769,,2020/07/27,{1AB06477-6D2B-439F-B27D-839248CB340C},,6.1460007525468e+18,R4Z,R4,06146000752546800000,True
274401,206654,Main,929,,,voie,,Rotary,Way,,929 Rotary Way,929 voie Rotary,Rotary Way,voie Rotary,voie Rotary Way,English,K1T0L2,GLOUCESTER,Gloucester,22.0,__85CYQZ,__7NY49P,RN011933,376005.832,5021471.804,2012/11/14,,{A980E241-1099-464E-9B00-00F9975CC07F},,6.1460007518848e+18,R3Z,R3,06146000751884800000,True
274402,117983,Main,930,,,crois,,Giant Cedars,Cres,,930 Giant Cedars Cres,930 crois Giant Cedars,Giant Cedars Cres,crois Giant Cedars,crois. Giant Cedars Cres.,English,K1V1R6,GLOUCESTER,Gloucester,22.0,__31AA1V,___2SVOR,RN006950,368811.649,5015560.363,2012/11/14,,{FEA87534-AA06-44AB-8CCA-42E4B3A1804C},,6.14600026513e+18,R3VV,R3,06146000265130000000,True
274403,63609,Main,234,,,rue,,Kingswell,St,,234 Kingswell St,234 rue Kingswell,Kingswell St,rue Kingswell,rue Kingswell St.,English,K1T0L1,GLOUCESTER,Gloucester,22.0,__81JFX7,__7TCCSC,RN008931,375888.9961,5021283.9932,2012/11/14,2015/02/25,{3E75D879-00FF-4956-BDD2-4F23867DEF3B},,6.1460007518984e+18,R3Z,R3,06146000751898400000,True
